id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, including the initial response time of 15 minutes and the resolution time of 4 hours.",5,"The answer directly addresses the question by providing specific SLA times for handling P1 tickets, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer includes both key points from the expected answer: the initial response time of 15 minutes and the resolution time of 4 hours. It also clarifies that these times are counted from when the ticket is created, which adds to the completeness.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation.",5,The answer directly addresses the question by stating that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points of the expected answer, including the time frame of 7 working days from the order confirmation.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for granting Level 3 access, which includes the necessary approvals from the Line Manager, IT Admin, and IT Security as stated in the context.",5,"The answer directly addresses the question by specifying the necessary approvals required to grant Level 3 access, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers all key points of the expected answer, including the necessary approvals from Line Manager, IT Admin, and IT Security.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are generally not eligible for refunds, which aligns with the context provided. However, it does not explicitly mention that refunds for digital products are possible if there is a manufacturer defect and other conditions are met, which is a crucial part of the context. Therefore, while the answer is mostly accurate, it lacks completeness regarding the exceptions.",5,"The answer directly addresses the question about the refund policy for digital products, stating that they are generally non-refundable unless there is a manufacturer error and other conditions are met.",5,Retrieved: 1/1 expected sources,3,"The actual answer correctly states that digital products are generally non-refundable, which aligns with the expected answer. However, it introduces an exception regarding manufacturer errors and additional conditions, which is not mentioned in the expected answer. This additional information makes the answer less complete in terms of aligning with the expected response.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 consecutive failed login attempts and the methods to unlock the account.,5,"The answer directly addresses the question by stating that an account is locked after 5 consecutive failed login attempts, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer fully covers the expected answer by stating that the account is locked after 5 consecutive failed login attempts. Additionally, it provides extra information on how to unlock the account, which enhances the completeness of the response.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình khẩn cấp như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided context, specifically referencing the approval process, time limits, and logging requirements.",5,The answer directly addresses the question about how escalation occurs in a P1 incident by outlining the emergency process and the roles involved.,5,Retrieved: 1/1 expected sources,2,"The actual answer provides information about the escalation process for P1 incidents but does not address the specific detail of the ticket automatically escalating to a Senior Engineer if there is no response within 10 minutes, which is a key point in the expected answer.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định quy trình cấp quyền hệ thống là ""Access Control SOP"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"The answer correctly identifies that the document outlines the access control process, but it refers to it as 'Access Control SOP,' which is not explicitly mentioned in the provided context. Therefore, while the essence is accurate, the specific naming may not be fully grounded in the context.",4,"The answer provides relevant information by mentioning a specific document related to the approval matrix for system access rights, but it does not explicitly define what an 'Approval Matrix' is or how it relates to the 'Access Control SOP'.",5,Retrieved: 1/1 expected sources,4,"The actual answer identifies the document as 'Access Control SOP', which is correct, but it does not mention the previous name 'Approval Matrix for System Access' or the specific format of the document (access-control-sop.md). This omission affects the completeness.",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days and the requirement for Team Lead approval.",5,"The answer directly addresses the question by stating that employees can work remotely a maximum of 2 days per week after completing their probation period, and it provides additional context about the approval process, which is relevant to the question asked.",5,Retrieved: 1/1 expected sources,5,"The actual answer covers all key points of the expected answer, including the maximum number of remote days (2 days/week), the condition of completing the probation period, and the requirement for Team Lead approval. Additionally, it specifies the approval process through the HR Portal, which adds clarity.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstained appropriately.,1,"The answer does not provide any relevant information about the ERR-403-AUTH error or how to handle it, and simply states a lack of knowledge.",,No expected sources,1,"The actual answer does not provide any information about the ERR-403-AUTH error or how to handle it, completely missing the core points of the expected answer.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Abstained appropriately.,5,"The answer correctly states that there is no specific information available regarding the refund process for VIP customers, which directly addresses the question about whether the process differs for them.",5,Retrieved: 1/1 expected sources,3,"The actual answer acknowledges the lack of specific information regarding the expedited refund process for VIP customers, which aligns with the expected answer's indication that there is no special procedure. However, it does not explicitly mention the standard refund process timeframe of 3-5 business days, which is a key point in the expected answer.",variant_hybrid
